venue_name,venue_state,conference_game,away_name,home_name,event_coord_x,event_coord_y,type,shot_made,points_scored,season
Carver-Hawkeye Arena,IA,false,Hornets,Hawkeyes,563.0,298.0,,false,,2017
Carver-Hawkeye Arena,IA,true,Hoosiers,Hawkeyes,570.0,303.0,,false,,2017
Carver-Hawkeye Arena,IA,false,Horned Frogs,Hawkeyes,768.0,376.0,,false,,2016
Carver-Hawkeye Arena,IA,false,Coyotes,Hawkeyes,,,,false,,2016
Carver-Hawkeye Arena,IA,false,Coyotes,Hawkeyes,818.0,198.0,,false,,2016
Madison Square Garden,NY,,Longhorns,Hawkeyes,,,,false,,2014
Madison Square Garden,NY,,Longhorns,Hawkeyes,,,,false,,2014
Madison Square Garden,NY,false,Fighting Illini,Hawkeyes,,,,false,,2017
Bankers Life Fieldhouse,IN,false,Wildcats,Hawkeyes,1051.0,314.0,,false,,2013
Bankers Life Fieldhouse,IN,false,Wildcats,Hawkeyes,439.0,85.0,,false,,2013
Bankers Life Fieldhouse,IN,false,Wildcats,Hawkeyes,,,,false,,2013
Bankers Life Fieldhouse,IN,,Fighting Illini,Hawkeyes,,,,false,,2015
Bankers Life Fieldhouse,IN,false,Wildcats,Hawkeyes,629.0,74.0,,false,,2013
Bankers Life Fieldhouse,IN,false,Wildcats,Hawkeyes,,,,false,,2013
Northwest Florida State College Arena,FL,false,Cavaliers,Hawkeyes,,,,false,,2016
Northwest Florida State College Arena,FL,false,Cavaliers,Hawkeyes,,,,false,,2016
Imperial Arena,,false,Hawkeyes,Miners,88.0,322.0,fieldgoal,true,2.0,2013
Imperial Arena,,false,Hawkeyes,Miners,95.0,575.0,fieldgoal,false,,2013
Imperial Arena,,false,Hawkeyes,Miners,1065.0,104.0,fieldgoal,false,,2013
Imperial Arena,,false,Hawkeyes,Miners,46.0,260.0,twopointmiss,false,,2013
BMO Harris Bradley Center,WI,,Hawkeyes,Golden Eagles,34.0,554.0,fieldgoal,false,,2015
BMO Harris Bradley Center,WI,,Hawkeyes,Golden Eagles,322.0,168.0,fieldgoal,false,,2015
BMO Harris Bradley Center,WI,,Hawkeyes,Golden Eagles,298.0,116.0,threepointmade,false,,2015
BMO Harris Bradley Center,WI,,Hawkeyes,Golden Eagles,1024.0,287.0,twopointmiss,false,,2015
BMO Harris Bradley Center,WI,,Hawkeyes,Golden Eagles,332.0,301.0,fieldgoal,true,3.0,2015
BMO Harris Bradley Center,WI,,Hawkeyes,Golden Eagles,314.0,176.0,fieldgoal,false,,2015
BMO Harris Bradley Center,WI,,Hawkeyes,Golden Eagles,983.0,322.0,fieldgoal,true,2.0,2015
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,68.0,413.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,305.0,167.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,68.0,267.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,44.0,32.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,278.0,459.0,fieldgoal,true,3.0,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,249.0,300.0,freethrow,true,1.0,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,81.0,272.0,twopointmiss,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,794.0,239.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,1030.0,322.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,314.0,353.0,steal,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,928.0,428.0,rebound,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,1076.0,32.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,68.0,327.0,fieldgoal,false,,2014
Carver-Hawkeye Arena,IA,,Ospreys,Hawkeyes,15.0,259.0,turnover,false,,2014
